,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
100,Credgenics,2018,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000,Pre-series A,2020
101,GeoIQ,2018,Bangalore,AI startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Ankur Mittal, Mitesh Shah",300000,Seed,2020
102,Country Delight,2015,Haryana,Dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"IIFL Asset Management, Matrix Partners",25000000,Series C,2020
103,Quintype,2014,Bangalore,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",IIFL AMC,3500000,Series A,2020
104,CARS24,2015,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Global Car Group, Freemark holdings",200000000,Series E,2020
105,Astrogate Labs,2017,Bangalore,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,"Venture Catalysts, Speciale Invest",3000000,Venture - Series Unknown,2020
106,Power Gummies,2018,New Delhi,HealthTech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Venture Catalysts,3000000,Bridge,2020
107,Cityflo,2015,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Anupam Mittal, India Quotient",7000000,Series A,2020
108,AlgoBulls,2019,Mumbai,Trading platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,Venture Catalysts,200000,Venture - Series Unknown,2020
109,Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel India, Breadlake Ventures",3000000,Pre-series A,2020
110,Inntot,2014,Kerala,Tech company,"Inntot Technologies, is a technology driven company.",Unicorn India Ventures,3000000,Venture - Series Unknown,2020
111,Ensuredit,2019,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,Venture Catalysts,300000,Pre-series A,2020
112,Shipsy,2015,Gurugram,AI Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"DTDC, Udaan Angel Partners",6000000,Series A,2020
