,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
762,Bugworks,2014,Bangalore,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,"University of Tokyo Edge Capital, Global Brain Corporation",7500000,Venture - Series Unknown,2020
763,DrinkPrime,2016,Bangalore,Unknown,Water purifier subscription service,"Abhishek Goyal, Bharat Jaisinghani, FirstCheque",3000000,Seed round,2020
764,YAP,2016,Chennai,FinTech,Banking and payment products-focused API platform,BeeNext,4500000,Series A,2020
765,UzhavarBumi,2017,Tamil Nadu,Dairy,Provides fresh dairy products,Angel Network,3000000,Venture - Series Unknown,2020
766,Tattva,2018,Delhi,Beauty & wellness,Sells its organic and beauty products via marketplace,"Sukhbir Singh, Rakhee Singal",150000,Venture - Series Unknown,2020
767,Pariksha,2015,Pune,EdTech,Platform for vernacular test-preparation,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",3000000,Pre-series A,2020
768,DailyHunt,2016,Bengaluru,Media,News aggregator,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000,Venture - Series Unknown,2020
769,NoBroker,2014,Bangalore,Real Estate,Online real estate rental startup,General Atlantic,30000000,Venture - Series Unknown,2020
770,Box8,2011,Mumbai,FoodTech,Enables to order food online,"IIFL Seed Ventures Fund, Menlo park",4000000,Venture - Series Unknown,2020
771,Capital Float,2013,Bangalore,FinTech,Online platform that provides working capital finance to SMEs,"Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000,Venture - Series Unknown,2020
772,ITILITE,2016,Bangalore,Travel & SaaS,Platform for business travel,"Greenoaks Capital, Vy Capital. Matrix Partners India",13000000,Series B,2020
773,Morning Context,2016,Gurgaon,Digital Media,A subscription-only digital media publisher,Angel investors,3000000,Seed round,2020
774,Aavenir,2019,Ahmedabad,SaaS,Source-to-Pay Software,Accel,2000000,Seed round,2020
775,Savvy Co op,2016,New Delhi,Healthcare,It connects patients with healthcare companies,Indie VC,3000000,Venture - Series Unknown,2020
776,BLive,2018,Mumbai,Tourism & EV,"It offers experiential, guided tours on smart electric bikes",Mumbai Angels Network,3000000,Pre-series A,2020
777,Yellow Messenger,2016,Bangalore,AI,It offers conversational chatbots,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000,Series B,2020
778,Toch,2016,Bangalore,Media Tech,AI based Video object detection and Tagging platform,Inflection Point Ventures,400000,Venture - Series Unknown,2020
779,EWar,2016,Bangalore,Gaming,E-sports and real-time gaming startup,"Jindal Steels, Jeet Banerjee",200000,Venture - Series Unknown,2020
780,Setu,2016,New Delhi,FinTech,"Offers open APIs across four categories: bills, savings, credit, and payments.","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000,Series A,2020
781,Wellthy Therapeutics,2016,Bangalore,HealthTech,It offers a digital therapeutics service,Saama Capital,4000000,Pre-series A,2020
782,Power Gummies,2018,Delhi,Health,Offers health supplements related gummies,Venture Catalysts,3000000,Venture - Series Unknown,2020
783,Locale ai,2019,Bangalore,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,Better Capital,3000000,Venture - Series Unknown,2020
784,FarEye,2016,Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods","M12, Honeywell venture capital, Eight Roads Venture",24500000,Series D,2020
785,Rebel Foods,2016,Bengaluru,FoodTech,It runs internet kitchen,Coatue Management,50000000,Venture - Series Unknown,2020
786,BankBazaar,2008,Chennai,FinTech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Amazon, Sequoia, Walden SKT Venture Fund",3800000,Series D,2020
787,Porter,2014,Mumbai,Logistics,Logistics and fleet management,Lightstone Global Funds,18370000,Series D,2020
788,SugarBox,2016,Mumbai,Tech,Hyperlocal data distribution platform,Zee Entertainment Enterprises Limited,68525000,Venture - Series Unknown,2020
789,Capital Float,2013,Bangalore,FinTech,Online platform that provides working capital finance to SMEs,"Amazon Inc`, Dinesh J Hinduja",4800000,Series F,2020
790,Big Basket,2016,Bangalore,E store,Online grocery store,Alibaba Holdings,60000000,Venture - Series Unknown,2020
791,Amica,2016,New Delhi,FinTech,Neobanking startup,"Hummingbird Ventures, Bedrock Capital",2000000,Venture - Series Unknown,2020
792,Vedantu,2016,Bangalore,EdTech,Onine learning platform,Legend Capital,12500000,Series C,2020
793,Fingerlix,2016,Bangalore,Food,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,","Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000,Venture - Series Unknown,2020
794,Plop,2016,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,"Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",3000000,Angel Round,2020
795,Zupee,2018,Ahmedabad,Gaming,It runs live quiz tournaments on its app.,Matrix Partners,8000000,Series A,2020
796,DeHaat,2012,New Delhi,AgriTech,Online marketplace for farming services and products,Sequoia Capital India,12000000,Series A,2020
797,Lido Learning,2016,Mumbai,EdTech,Online teaching service,Bace Capital,7500000,Series B,2020
798,Aye Finance,2014,Gurugram,FinTech,A finance lender to SMEs,Undisclosed,23850000,Venture - Series Unknown,2020
799,Swiggy,2014,Bangalore,FoodTech,Platform to order food online from restaurants and getting it delievered,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000,Series A,2020
800,Akna Medical,2018,Gurugram,HealthTech,Provides supply solutions for surgical and pharmaceutical products.,LGT Lightstone Aspada,7000000,Venture - Series Unknown,2020
801,Zomato,2016,Gurugram,FoodTech,Online food delivery and restaurant discovery platform,Pacific Horizon,5000000,Venture - Series Unknown,2020
802,RaRa Delivery,2016,Noida,Logistics,Provides same day delivery service for ecommerce businesses,"Der Shing Lim, 500 startups",800000,Seed round,2020
803,JusPay,2016,Bangalore,FinTech,Online payment solutions,Vostok Emerging Finance,21600000,Series B,2020
804,Obviously AI,2018,Bangalore,Data Science,It provides predictive insights to clients by leveraging their data,Arka Venture Labs,3000000,Venture - Series Unknown,2020
805,Fingpay,2016,Mumbai,FinTech,Provides payment solutions,IvyCap Ventures,3500000,Series A,2020
806,Recko,2017,Bangalore,SaaS,The platform enables AI-powered reconciliation of digital transactions,Vertex Ventures,6000000,Series A,2020
807,Furlenco,2012,Bangalore,E-commerce,Furniture rental startup,"Chowdry Associates, Lightbox",10000000,Venture - Series Unknown,2020
808,Mera Cashier,2019,Noida,FinTech,App meant for small and micro businessmen to manage their transactions digitally,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000,Venture - Series Unknown,2020
809,Kitchens Centre,2019,Delhi,Unknown,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,AngelList India,500000,Seed round,2020
810,Camp K12,2016,Gurugram,EdTech,It connects students with tutors online,"Matrix Partners, SAIF Partners",4000000,Seed round,2020
811,MedGenome,2013,Bangalore,HealthTech,Genetic diagnostic testing company,LeapFrog Investments,55000000,Series D,2020
812,Ergos,2016,Bangalore,AgriTech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,Aavishkar Capital,4598000,Venture - Series Unknown,2020
813,Nykaa,2012,Mumbai,E-commerce,Deals in cosmetic and wellness products,Steadview Capital,13137000,Venture - Series Unknown,2020
814,Samadhan,2018,Delhi,Insurance,They help find solutions to insurance related issues,Venture Catalysts,3000000,Seed round,2020
815,SaScan,2016,Bangalore,Healthcare,Cancer diagnostics startup,Unicorn India Ventures,3000000,Venture - Series Unknown,2020
816,Lido Learning,2016,Mumbai,EdTech,Online teaching service,"Pecus Capital, Madhur Deora",3000000,Venture - Series Unknown,2020
817,CureFit,2016,Bangalore,Health and Fitness,"Integrated platform for food, fitness and meditation.",Temasek,115000000,Series D,2020
818,Nimesa,2018,Bangalore,SaaS,Cloud data managemnt solutions enterprise,Ideaspring capital,3000000,Venture - Series Unknown,2020
819,Design X,2016,Noida,IoT,Builds IoT based products,ThinkNext LLC,200000,Seed round,2020
820,Driftly Electric,2016,Bangalore,Automobile,Electric vehicle startup,MG Motor India,3000000,Venture - Series Unknown,2020
821,Imstrong,2019,Bangalore,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,Rainmatter,400000,Seed round,2020
822,Craftsvilla,2016,Mumbai,Marketplace,Online marketplace for ethnic wear,Supera Investments,3900000,Venture - Series Unknown,2020
823,Rupifi,2020,Bangalore,FinTech,Offers financial products for SMEs,"Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000,Pre-seed Round,2020
824,Snack Amor,2016,Mumbai,Food,It offers various healthy snacks,Undisclosed,3000000,Seed round,2020
825,Zealthy,2019,Bangalore,HealthTech,"It connects women to healthproviders for specialities like infertility, maternity etc.,","KYT Ventures, First Cheque, AngelList",3000000,Seed round,2020
826,CoinDCX,2016,New Delhi,FinTech,A cryptocurrency trading platform,"Polychain Capital, Bain Capital Ventures, HDR Group",3000000,Series A,2020
827,NuNu TV,2016,Bangalore,Media,Kids-focussed Youtube channel,Risers Accelerators,670000,Venture - Series Unknown,2020
828,QTalk,2016,Bangalore,Technology,Smart Phone Dialer,"Accel India, Lightspeed Venture Partners",1600000,Seed round,2020
829,Shadez,2018,Mumbai,Interior & decor,Paint Company,Inflection Point Ventures,100000,Seed round,2020
830,Excess2Sell,2016,Mumbai,E-commerce,B2B Marketplace for Overstock & Surplus Inventory,Gautham Madhavan,1000000,Venture - Series Unknown,2020
831,Stanplus,2016,Hyderabad,HealthTech,Ambulance service,Pegasus FinInvest,1500000,Pre-series A,2020
832,Pitstop,2016,Bangalore,Automobile,Doorstep car service,TPG-backed Group Landmark,2500000,Series A,2020
833,Univariety,2015,Hyderabad,EdTech,Online marketplace that provides career counselling and college guidance,Info Edge,1100000,Venture - Series Unknown,2020
834,Peel-Works,2010,Mumbai,SaaS,E-commerce for corner/retail stores.,CESC Ventures,3000000,"Series C, D",2020
835,CoreStack,2016,Chennai,Technology,Enterprise cloud governance technology startup,Naya Ventures,8500000,Series A,2020
836,Vivriti Capital,2017,Chennai,FinTech,Digital lending startup,LGT Lightstone Aspada,50000000,Series B,2020
837,Agnikul,2016,Chennai,Spacetech,"It designs, fabricates, tests and launch orbital class launch vehicles",pi Ventures,3148000,Pre-series A,2020
838,Fintso,2020,Bangalore,FinTech,Wealth management platform,"Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000,Venture - Series Unknown,2020
839,Khatabook,2016,Bangalore,FinTech,It helps SMEs to maintain their accounts and ledger online.,Mahendra Singh Dhoni,3000000,Venture - Series Unknown,2020
840,Smart Coin,2015,Bangalore,FinTech,Consumer lending startup,LGT Lightstone Aspada,7000000,Series A,2020
841,ZunRoof,2016,Gurugram,CleanTech,"It specialises in solar rooftop design, installation, and management using technology",Godrej Investments,3000000,Series A,2020
842,Shop101,2015,Bangalore,Social e-commerce,Enables entrepreneurs to sell online,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000,Series C,2020
843,OM Bhakti,2016,Bangalore,FMCG,A puja cotton-wicks manufacturing startup,Venture Catalysts,3000000,Seed round,2020
844,Lal10,2016,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,Sorenson Impact,1100000,Venture - Series Unknown,2020
845,Anaxee Digital Runner,2016,Indore,Tech,A tech-enabled ID verification and data collection startup,Orios Venture Partners,3000000,Venture - Series Unknown,2020
846,CollegeKhabri,2019,Bhopal,EdTech,Platform is an end-to-end college and career counselling platform for students,Vishal Dixit,3000000,Venture - Series Unknown,2020
847,Ola Electric,2016,Bangalore,eMobility,Electric vehicle,Pawan Munjal Family Trust Fund,1000000,Venture - Series Unknown,2020
848,Multi Living,2016,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Lodha Ventures,6000000,Venture - Series Unknown,2020
849,FamPay,2016,Bangalore,FinTech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.","Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000,Seed round,2020
850,UnboxRobotics Labs,2016,Bangalore,Automation tech,Automated flexible parcel sorting solutions for logistics providers,"Arali Ventures, CIIE.CO",500000,Seed round,2020
851,Karbon Card,2016,Bangalore,FinTech,Specialisde corporate cards for startups,"Kunal Shah, Amrish Rau, Jitendra Gupta",2000000,Seed round,2020
852,Airmeet,2016,Bangalore,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",Accel India,3000000,Venture - Series Unknown,2020
853,Innerchef,2016,Gurgaon,FoodTech,Cloud kitchen platform,Mistletoe,1000000,Venture - Series Unknown,2020
854,Epigamia,2015,Mumbai,FMCG,Flavoured and greek yoghurt brand,KA Enterprise,3000000,Series C,2020
855,StyleNook,2016,Mumbai,E-commerce,Marketplace for fashionable apparel,"Lead Angels Network, Stanford Angels",3000000,Venture - Series Unknown,2020
856,Callido Learning,2016,Mumbai,EdTech,Provides a structured educational approach to critical thinking and problem solving skills,Education Catalyst Fund,3000000,Venture - Series Unknown,2020
857,Soxytoes,2016,Delhi,E-commerce,Online store to buy various types of socks including funky and colorful socks,Angel Network,3000000,Venture - Series Unknown,2020
858,F5,2018,Delhi,E-market,Retail Aggregator,LetsVenture investors,3000000,Seed round,2020
859,Paper Boat,2013,Bangalore,Food & Beverages,Ecommerce platform for beverages and snacks,"Advent Management, A91 Emerging Fund, Trifecta Venture",4049500,Venture - Series Unknown,2020
860,Strata,2019,Bangalore,Proptech,Real estate investment platform,"SAIF Partners, Mayfield India",1500000,Seed round,2020
861,Salesken,2016,Bangalore,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,Sequoia India,8000000,Series A,2020
862,Arya,2016,Noida,AgriTech,Provides post-harvest services across the agricultural value chain,LGT Lightstone Aspada,6000000,Series B,2020
863,Leap Finance,2016,Bangalore,FinTech,Provides education loans to students based on the student’s future income,Sequoia India,5500000,Venture - Series Unknown,2020
864,Sleepy Owl,2016,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.",Rukam Capital,3000000,Venture - Series Unknown,2020
865,Tricog,2015,Bangalore,HealthTech,Provides virtual cardiology services through its AI-powered healthcare platforms,"UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000,Series B,2020
866,GogoBus,2016,Delhi,TravelTech,Inter-City Mobility Startup,Ixigo,3000000,Venture - Series Unknown,2020
867,Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Sequoia’s Surge, Fosun RZ",4000000,Pre-series A,2020
868,Spaciya Consultants,2016,Noida,Real Estate,Real estate consultancy firms,Alok Garg,500000,Pre-series A,2020
869,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,Innoven Capital,6500000,Venture - Series Unknown,2020
870,Neeman,2017,Bangalore,E-commerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,Anicut Angel Fund,1000000,Pre-series A,2020
871,Chqbook,2017,Gurugram,FinTech,"Marketplace for small business owners, offering them products around lending, credit cards etc",Aavishkaar Capital,5000000,Series A,2020
872,SMEcorner,2014,Mumbai,FinTech,Financial lending firm to SMEs,Paragon Partners,30000000,Series B,2020
873,Oda Class,2016,Bangalore,EdTech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",Yuanfudao,3000000,Pre-series A,2020
874,Spinny,2015,Haryana,E-tail,Used car retailing platform,"Nandan Nilekani, Sanjeev Aggarwal",43700000,Series B,2020
875,goStops,2012,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,Atraxn Partners.,3000000,Venture - Series Unknown,2020
876,Umeed Housing,2016,Haryana,FinTech,Housing finance company,Morgan Stanley Private Equity Asia,23000000,Series D,2020
877,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,Lightstone Aspada,20000000,Series C,2020
878,Flickstree,2016,Mumbai,AI & Media,Artificial intelligence-based video publishing network,Samsung Venture Investment,3000000,Series A,2020
879,Qure ai,2016,Mumbai,HealthTech,Provides interpretations of radiology scans,Sequoia India,16000000,Venture - Series Unknown,2020
880,MinionLabs,2016,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Indian Angel Network,3000000,Venture - Series Unknown,2020
881,Josh Talks,2015,Haryana,Media,Community of young individuals providing a platform to showcase their stories,Media Development Investment Fund,1500000,Pre-series A,2020
882,PhoneParLoan,2015,Delhi,FinTech,Provides easy loans,Accelerator MOX,3000000,Venture - Series Unknown,2020
883,RailYatri,2011,Noida,Travel,A complete Indian railways app,"Nandan Nilekani, Samsung Venture Investment Corporation",13800000,Venture - Series Unknown,2020
884,AjnaLens,2014,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000,Pre-series A,2020
885,Pepper,2017,Mumbai,Content Marktplace,End to end content creation platform,"Kunal Bahl, Rohit Bansal",306900,Seed Funding,2020
886,Rupeek,2015,Bangalore,FinTech,An asset backed online lending platform,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000,Venture - Series Unknown,2020
887,iMerit,2012,Kolkata,IT,Turns information into data that is usable for machine learning processes,CDC Group Plc,20000000,Series B,2020
888,BharatPe,2018,Delhi,FinTech,Digital payments platform,Ribbit Capital,75000000,Series C,2020
889,InVideo,2016,Cochin,Visual Media,Video production and editing platform,Sequoia Capital’s Surge,2500000,Venture - Series Unknown,2020
890,AvalonMeta,2017,Bangalore,EdTech,It combines higher education and competitive gaming,Peerplays,420000,Venture - Series Unknown,2020
891,Near Store,2016,Mumbai,E-commerce,Enables a shop to create an online presence,Sauce vc,300000,Seed round,2020
892,ElecTorq,2016,Delhi,Automobile,Electric vehicle startup,AdvantEdge,3000000,Venture - Series Unknown,2020
893,Prayaan Capital,2016,Chennai,FinTech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",Accion Venture Lab,1200000,Seed round,2020
894,Sanfe,2016,Delhi,Hygiene,Women health care and wellness product,"SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000,Pre-series A,2020
895,Go Desi,2018,Delhi,FoodTech,Provides traditional delicacies,Rukam Capital,627300,Seed round,2020
896,Swiggy,2014,Bangalore,FoodTech,Platform to order food online from restaurants and getting it delievered,Prosus N.V,113000000,Series A,2020
897,Whatfix,2014,Banglore,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",Sequoia Capital India,32000000,Series C,2020
898,Unacademy,2010,Bangalore,EdTech,Platform that offers online education in India,"Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000,Series E,2020
899,Zvesta,2015,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,Hindustan Media Ventures,5500000,Venture - Series Unknown,2020
900,Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,Alteria Capital,11000000,Venture - Series Unknown,2020
901,Digit Insurance,2016,Bangalore,Insurtech,General Insurance Company,"Virat Kohli, Anushka Sharma",340000,Venture - Series Unknown,2020
902,Yolo,2019,Gurugram,Transport,Intercity transportation,Undisclosed,600000,Seed Funding,2020
903,SmartVizX,2015,Hyderabad,VR & SaaS,It developed India’s first VR-based design communication and collaboration product Trezi,Rockstud Capital,1397000,Pre-series A,2020
904,Max wholesale,2016,Delhi,E-commerce,B2B ecommerce platform for kirana stores,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000,Series A,2020
905,Carbon Clean,2009,Gurugram,CleanTech,Develops affordable carbon capture technology,"WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000,Venture - Series Unknown,2020
906,Onsitego,2016,Bangalore,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,Zodius Growth Fund,19000000,Series B,2020
907,Genius Corner,2014,Noida,EdTech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000,Venture - Series Unknown,2020
908,PlanetSpark,2016,Gurugram,EdTech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Indian Angel Network, Lead Angels, Hyderabad Angels",448500,Venture - Series Unknown,2020
909,CamCom,2017,Bangalore,AI & Deep learning,AI automation platform for enterprise quality control,"Triton Investment Advisors,",3000000,Venture - Series Unknown,2020
910,Simsim,2016,Bangalore,Social commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,"Accel Partners, Shunwei Capital, Good Capital",8000000,Series B,2020
911,Shuttl,2015,Delhi,Transport,App based bus aggregator serice,SIG Global India Fund,7975700,Series C,2020
912,HooLiv,2016,Delhi,Housing & Rentals,Student Co-living startup,Kolte-Patil Family Office,3000000,Venture - Series Unknown,2020
913,ClassMonitor,2016,Indore,EdTech,The learning platform that blends curriculum-based activities for children,Ashwin Khorana,3000000,Venture - Series Unknown,2020
914,Friyey,2016,Pune,Coworking,Co working space startup,Tarun Bhalla,3000000,Venture - Series Unknown,2020
915,Oga,2016,Bangalore,Fitness,Provides interactive fitness experience to people across the world,Inflection Point Ventures,330000,Venture - Series Unknown,2020
916,Big Basket,2016,Bangalore,E store,Online grocery store,Trifecta Capital,3500000,Venture - Series Unknown,2020
917,CYFIRMA,2016,Bangalore,SaaS,Offer cybersecurity services,Z3 Partners,3000000,Series A,2020
918,Innoviti,2016,Bangalore,Unknown,Digital payments solutions company,FMO,5000000,Venture - Series Unknown,2020
919,Paytm money,2010,Bangalore,FinTech,Wealth Management,One97 Communications,5600000,Venture - Series Unknown,2020
920,Vedantu,2016,Bangalore,EdTech,Onine learning platform,GGV Capital,24000000,Series C,2020
921,YAP,2016,Chennai,FinTech,Banking and payment products-focused API platform,"Amrish Rau, Kunal Shah, Jitendra Gupta",1402000,Venture - Series Unknown,2020
922,Clover,2016,Bangalore,AgriTech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Omnivore, Accel Partners, Mayfield",5500000,Series A,2020
923,Nova Credit,2016,Bangalore,FinTech,Cross-border consumer credit startup,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000,Series B,2020
924,CodingNinjas,2016,Delhi,EdTech,Online learning platform,Info Edge Ltd,5200000,Series A,2020
925,Furlenco,2011,Bangalore,E-commerce,Furniture rental startup,Chowdry Associates,2200000,Series C,2020
926,Brick&Bolt,2018,Bangalore,Unknown,Operates in the residential construction space,Surge,1500000,Pre-series A,2020
927,HempStreet,2019,Bangalore,HealthTech,Manufacturer of ayurvedic medicines based on cannabis,Pharmacon Holdings,1000000,Pre-series A,2020
928,MoEngage,2016,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,Eight Roads Ventures,25000000,Series C,2020
929,Classplus,2018,Gurgaon,EdTech,It allows coaching centres to take their brick-and-mortar setup online,"Blume Ventures, Sequoia",2500000,Pre-series A,2020
930,Chaayos,2012,Haryana,Beverages,Provides customised range of tea,Think Investment,21500000,Venture - Series Unknown,2020
931,PetPooja,2011,Ahmedabad,SaaS,Restaurant management software provider,Udaan,2000000,Venture - Series Unknown,2020
932,Altor,2016,Surat,Tech,Makes helmets that are IoT and AI enabled,Venture Catalysts,3000000,Venture - Series Unknown,2020
933,Pepperfry,2013,Mumbai,E-market,Online home furniture marketplace,Pidilite Industries,40000000,Series F,2020
934,FirstCry,2010,Pune,E-market,Baby products marketplace,Softbank’s Vision Fund,296000000,Series E,2020
935,Byju,2011,Delhi,EdTech,Provides online learning classes,General Atlantic,200000000,Venture - Series Unknown,2020
936,WayCool,2015,Chennai,AgriTech,Food development and distribution services,Lightbox Ventures,32000000,Series C,2020
937,WorkIndia,2016,Bangalore,HR Tech,An online and mobile-based platform that connects companies with blue collar employees.,Xiaomi,6000000,Venture - Series Unknown,2020
938,Qyuki,2016,Mumbai,Media,Multi-channel broadcast network,Info Edge Venture Fund,3500000,Venture - Series Unknown,2020
939,Leap India,2016,Coimbatore,AgriTech,Agricultural warehousing and logistics company,Neev Fund,30000000,Series B,2020
940,Picxy,2016,Hyderabad,Media,Stock photo industry,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000,Venture - Series Unknown,2020
941,Krimanshi,2016,Jodhpur,AgriTech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Arunachal Pradesh Social Entrepreneurship Meet,20000,Venture - Series Unknown,2020
942,NEETprep,2016,Delhi,EdTech,Provides crash course for NEET preparation,India Quotient,3000000,Venture - Series Unknown,2020
943,Dot Pvt. Ltd,2016,Gurugram,FinTech,It provides digital transformation and commerce solutions to brick and mortar outlets,"PayU, Fosun RZ Capital",8000000,Seed round,2020
944,Kuku FM,2016,Mumbai,Media,A podcast platform,Vertex Ventures,5500000,Series A,2020
945,SuperMoney,2018,Mumbai,FinTech,Provides financial tools for effective business making,Unitus Ventures.,1000000,Pre-series A,2020
946,Rebel Foods,2016,Bangalore,FoodTech,It runs internet kitchen,Alteria Capital,4900000,Venture - Series Unknown,2020
947,AlphaVector,2015,Bangalore,E tailor,It sells modern age bicycles named FROG,"Avaana Capital, Titan Capital",3000000,Venture - Series Unknown,2020
948,Fox Capital,2019,Jaipur,FinTech,Digital lending startup,Institutional Investors,2500000,Venture - Series Unknown,2020
949,Tribe Theory,2016,Bangalore,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,Tim Draper,3500000,Venture - Series Unknown,2020
950,Fleetx,2016,Delhi,SaaS,Fleet management and predictive analytics platform,BeeNext,1402400,Series A,2020
951,Embibe,2016,Mumbai,EdTech,It provides AI-based data analytics to personalise learning outcomes,Reliance Industries Limited (RIL),12618300,Venture - Series Unknown,2020
952,Entri,2017,Kochi,EdTech,It is a app that provides different types of learning content in local languages,Good Capital,1400000,Seed round,2020
953,Oye! Rickshaw,2016,Gurugram,eMobility,App-based electric rickshaw hailing service,Chiratae ventures,10000000,Series A,2020
954,Seal Professional,2012,Bangalore,EdTech,Trains students in managemnt and leadership skills and also helps in placement,Equanimity Ventures,3000000,Pre-series A,2020
955,Sprinng Foods,2016,Mumbai,Food,Provides Gluten-free food,"Mistletoe, Info Edge Asia",3000000,Venture - Series Unknown,2020
956,1MG,2015,Gurugram,HealthTech,Online pharmacy,Bill & Melinda Gates Foundation,9900000,Venture - Series Unknown,2020
957,Aagey,2016,Bangalore,FinTech,Provides financial assistance to MSMEs,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",3000000,Venture - Series Unknown,2020
958,Doubtnut,2017,Gurugram,EdTech,Multi-lingual digital solutions platform for students,Tencent,15000000,Series A,2020
959,AdonMo,2017,Bangalore,Ad-tech,It is an online and outdoor advertising company,Ant Financial,3000000,Venture - Series Unknown,2020
960,RACEnergy,2018,Bangalore,eMobility,It builds electric vehicles and supporting infrastructure,"GrowX ventures, Prophetic Ventures",3000000,Seed round,2020
961,BharatPe,2018,Delhi,FinTech,Digital payments platform,Coatue Management,100000000,Venture - Series Unknown,2020
962,Kisan Network,2015,Gurugram,AgriTech,Integrated supply chain for farmers to sell their produce directly to buyers,Atsushi Taira,3000000,Seed round,2020
963,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,Lightstone Aspada,35000000,Series C,2020
964,Yolo,2019,Gurugram,Transport,Intercity transportation startup,Undisclosed,600000,Seed round,2020
965,Unotech,2011,Mumbai,SaaS,It develops fully-customisable open source software,Manish Choksi,2000000,Venture - Series Unknown,2020
